zone_id,zone_name,receiver_count,case_key,season,rear_bearing_true_deg,scenario,metric,mean,median,p10,p90,min,max
3,ZONE_3,388,WINTER_B325,WINTER,325.0,baseline,deterministic_dappled_pattern_hours,1.226159793814433,1.25,0.0,2.5,0.0,3.5
3,ZONE_3,388,WINTER_B325,WINTER,325.0,likely,expected_open_sky_weighted_hours,1.0695876288659794,1.2,0.0,2.2,0.0,2.8999999999999995
3,ZONE_3,388,WINTER_B325,WINTER,325.0,likely,deterministic_dappled_pattern_hours,1.0560567010309279,1.0,0.0,2.25,0.0,3.25
3,ZONE_3,388,WINTER_B325,WINTER,325.0,conservative,expected_open_sky_weighted_hours,0.9333440721649484,1.0875,0.0,1.9000000000000001,0.0,2.35
3,ZONE_3,388,WINTER_B325,WINTER,325.0,conservative,deterministic_dappled_pattern_hours,0.9213917525773195,1.0,0.0,2.0,0.0,3.0
4,ZONE_4,632,WINTER_B325,WINTER,325.0,baseline,expected_open_sky_weighted_hours,0.07683939873417721,0.0,0.0,0.1875,0.0,1.3125
4,ZONE_4,632,WINTER_B325,WINTER,325.0,baseline,deterministic_dappled_pattern_hours,0.07515822784810126,0.0,0.0,0.25,0.0,1.5
4,ZONE_4,632,WINTER_B325,WINTER,325.0,likely,expected_open_sky_weighted_hours,0.061471518987341774,0.0,0.0,0.15,0.0,1.05
4,ZONE_4,632,WINTER_B325,WINTER,325.0,likely,deterministic_dappled_pattern_hours,0.05735759493670886,0.0,0.0,0.25,0.0,1.5
4,ZONE_4,632,WINTER_B325,WINTER,325.0,conservative,expected_open_sky_weighted_hours,0.007654272151898735,0.0,0.0,0.0,0.0,0.3375
4,ZONE_4,632,WINTER_B325,WINTER,325.0,conservative,deterministic_dappled_pattern_hours,0.006724683544303798,0.0,0.0,0.0,0.0,0.5
5,ZONE_5,56,WINTER_B325,WINTER,325.0,baseline,expected_open_sky_weighted_hours,1.2544642857142858,1.3125,0.84375,1.625,0.5625,1.875
5,ZONE_5,56,WINTER_B325,WINTER,325.0,baseline,deterministic_dappled_pattern_hours,1.2723214285714286,1.25,0.75,1.75,0.25,2.0
5,ZONE_5,56,WINTER_B325,WINTER,325.0,likely,expected_open_sky_weighted_hours,1.0848214285714286,1.1,0.6499999999999999,1.45,0.44999999999999996,1.7
5,ZONE_5,56,WINTER_B325,WINTER,325.0,likely,deterministic_dappled_pattern_hours,1.1339285714285714,1.25,0.625,1.625,0.25,1.75
5,ZONE_5,56,WINTER_B325,WINTER,325.0,conservative,expected_open_sky_weighted_hours,0.9645089285714284,0.975,0.51875,1.3375,0.3375,1.45
5,ZONE_5,56,WINTER_B325,WINTER,325.0,conservative,deterministic_dappled_pattern_hours,1.0089285714285714,1.0,0.5,1.5,0.25,1.75
6,ZONE_6,1025,WINTER_B325,WINTER,325.0,baseline,expected_open_sky_weighted_hours,4.973536585365854,5.125,4.1875,5.5,3.25,6.3125
6,ZONE_6,1025,WINTER_B325,WINTER,325.0,baseline,deterministic_dappled_pattern_hours,4.982926829268293,5.0,4.25,5.75,3.0,6.75
6,ZONE_6,1025,WINTER_B325,WINTER,325.0,likely,expected_open_sky_weighted_hours,3.97970731707317,4.049999999999999,3.4499999999999993,4.399999999999999,2.8499999999999996,5.249999999999998
6,ZONE_6,1025,WINTER_B325,WINTER,325.0,likely,deterministic_dappled_pattern_hours,3.9787804878048783,4.0,3.25,4.75,2.0,6.0
6,ZONE_6,1025,WINTER_B325,WINTER,325.0,conservative,expected_open_sky_weighted_hours,2.954219512195122,3.0250000000000004,2.3875,3.3625,1.8000000000000005,3.974999999999999
6,ZONE_6,1025,WINTER_B325,WINTER,325.0,conservative,deterministic_dappled_pattern_hours,2.984390243902439,3.0,2.25,3.75,1.0,5.0
7,ZONE_7,425,WINTER_B325,WINTER,325.0,baseline,expected_open_sky_weighted_hours,1.6991176470588236,1.9375,0.0,3.4375,0.0,3.6875
7,ZONE_7,425,WINTER_B325,WINTER,325.0,baseline,deterministic_dappled_pattern_hours,1.708235294117647,2.0,0.0,3.5,0.0,4.25
7,ZONE_7,425,WINTER_B325,WINTER,325.0,likely,expected_open_sky_weighted_hours,1.5056470588235293,1.8,0.0,2.8999999999999995,0.0,3.1499999999999995
7,ZONE_7,425,WINTER_B325,WINTER,325.0,likely,deterministic_dappled_pattern_hours,1.5176470588235293,1.75,0.0,3.0,0.0,4.25
7,ZONE_7,425,WINTER_B325,WINTER,325.0,conservative,expected_open_sky_weighted_hours,1.2060882352941176,1.4500000000000002,0.0,2.3499999999999996,0.0,2.4625
7,ZONE_7,425,WINTER_B325,WINTER,325.0,conservative,deterministic_dappled_pattern_hours,1.2229411764705882,1.5,0.0,2.5,0.0,3.25
